idx,q1,q2,q3,q4,q5,q6,x,y,z
0,-1.5026192089497101,-0.12918928354176643,-2.643030820967124,0.32776882106305033,1.396102773023229,0.0,0.19994792969844588,4.485906836567549e-05,0.3000440872487336
1,-1.5001890884696016,-0.1413828119472087,-2.6288239273136265,0.3262706064237988,1.3894392056679699,0.0019310039067740065,0.20424284727196806,0.0009107837771873076,0.2996038776525936
2,-1.4977589679894932,-0.15357634035265097,-2.6146170336601284,0.3247723917845472,1.38277563831271,0.003862007813548013,0.20852695160625753,0.0017974980100160624,0.29912070748206837
3,-1.4953288475093844,-0.16576986875809324,-2.6004101400066304,0.3232741771452956,1.3761120709574508,0.005793011720322019,0.21279962607929903,0.002704885508028965,0.29859465859785533
4,-1.4928987270292762,-0.17796339716353549,-2.586203246353133,0.32177596250604407,1.3694485036021917,0.007724015627096026,0.2170602559302674,0.003632824571864939,0.2980258193977663
5,-1.4904686065491677,-0.19015692556897779,-2.5719963526996357,0.32027774786679253,1.3627849362469324,0.009655019533870032,0.22130822837108916,0.004581188085905545,0.2974142848041277
6,-1.488038486069059,-0.20235045397442003,-2.557789459046138,0.31877953322754093,1.356121368891673,0.011586023440644038,0.22554293269761794,0.0055498435438543475,0.2967601562502079
7,-1.4856083655889505,-0.2145439823798623,-2.54358256539264,0.3172813185882893,1.3494578015364134,0.013517027347418045,0.22976376040040092,0.006538653075612149,0.2960635416656746
8,-1.483178245108842,-0.22673751078530457,-2.5293756717391425,0.31578310394903775,1.3427942341811543,0.015448031254192052,0.2339701052750158,0.0075474734754405574,0.2953245554610866
9,-1.4807481246287333,-0.23893103919074687,-2.515168778085645,0.3142848893097862,1.336130666825895,0.017379035160966057,0.23816136353195574,0.008576156231408826,0.2945433185114204
10,-1.4783180041486248,-0.2511245675961891,-2.500961884432147,0.3127866746705346,1.3294670994706355,0.019310039067740065,0.24233693390603936,0.009624547556116182,0.2937199581386347
11,-1.4758878836685163,-0.26331809600163136,-2.486754990778649,0.311288460031283,1.3228035321153762,0.021241042974514072,0.24649621776532554,0.010692488418684943,0.2928546080932737
12,-1.4734577631884078,-0.27551162440707366,-2.4725480971251512,0.3097902453920315,1.3161399647601169,0.023172046881288075,0.25063861921951003,0.011779814578017255,0.29194740853511636
13,-1.4710276427082993,-0.28770515281251596,-2.4583412034716536,0.3082920307527799,1.3094763974048578,0.025103050788062083,0.2547635452277854,0.012886356617306098,0.29099850601286836
14,-1.4685975222281908,-0.2998986812179582,-2.444134309818156,0.30679381611352835,1.3028128300495982,0.02703405469483609,0.2588704057061373,0.014011939979796604,0.2900080534429047
15,-1.4661674017480824,-0.31209220962340045,-2.429927416164658,0.30529560147427676,1.296149262694339,0.028965058601610097,0.2629586136340619,0.015156385005786607,0.28897621008706476
16,-1.4637372812679739,-0.32428573802884275,-2.4157205225111604,0.30379738683502516,1.2894856953390796,0.030896062508384104,0.26702758516067937,0.01631950697086157,0.28790314152950003
17,-1.4613071607878654,-0.336479266434285,-2.4015136288576633,0.3022991721957736,1.2828221279838203,0.03282706641515811,0.2710767397102233,0.01750111612535209,0.2867890196525847
18,-1.4588770403077567,-0.3486727948397273,-2.387306735204165,0.30080095755652203,1.276158560628561,0.034758070321932115,0.2751055000868872,0.01870101773500937,0.2856340226118837
19,-1.4564469198276482,-0.3608663232451696,-2.373099841550667,0.2993027429172705,1.2694949932733015,0.036689074228706126,0.2791132925790023,0.01991901212288593,0.28443833481019104
20,-1.4540167993475395,-0.3730598516506118,-2.3588929478971696,0.29780452827801895,1.2628314259180422,0.03862007813548013,0.28309954706253265,0.021154894712416106,0.2832021468706358
21,-1.451586678867431,-0.38525338005605403,-2.344686054243672,0.29630631363876736,1.2561678585627831,0.04055108204225413,0.2870636971038614,0.022408456071683795,0.28192565560886124
22,-1.4491565583873225,-0.39744690846149633,-2.3304791605901745,0.29480809899951577,1.2495042912075236,0.042482085949028144,0.29100518006185055,0.023679481958869607,0.2806090640042846
23,-1.446726437907214,-0.40964043686693863,-2.3162722669366764,0.2933098843602642,1.2428407238522643,0.044413089855802154,0.29492343718915437,0.024967753368868237,0.27925258117043616
24,-1.4442963174271055,-0.42183396527238093,-2.302065373283179,0.29181166972101263,1.2361771564970048,0.04634409376257615,0.29881791373276384,0.026273046581062408,0.27785642232438634
25,-1.441866196946997,-0.4340274936778232,-2.287858479629681,0.29031345508176104,1.2295135891417457,0.048275097669350155,0.30268805903376617,0.027595133208247538,0.27642080875526415
26,-1.4394360764668885,-0.4462210220832655,-2.273651585976183,0.2888152404425095,1.2228500217864862,0.050206101576124165,0.3065333266262949,0.02893378024669354,0.2749459677918708
27,-1.43700595598678,-0.4584145504887077,-2.2594446923226856,0.2873170258032579,1.2161864544312269,0.052137105482898176,0.3103531743356565,0.03028875012733296,0.2734321327693943
