idx,q1,q2,q3,q4,q5,q6,x,y,z
0,0.0,-0.6,-1.2,0.0,1.0,0.0,-3.932952188097696e-17,0.5262241464003998,0.5088372250228328
1,0.009427519670342376,-0.5871907262723834,-1.1936959206558035,0.008596696327333809,0.996256422741095,-0.004454765161273636,-0.004630681073300572,0.5239534147764906,0.5177013936088961
2,0.018855039340684752,-0.5743814525447668,-1.1873918413116071,0.017193392654667617,0.9925128454821902,-0.008909530322547272,-0.009217188520302474,0.5214878032814793,0.526540372707428
3,0.028282559011027126,-0.56157217881715,-1.1810877619674105,0.025790088982001427,0.9887692682232851,-0.013364295483820909,-0.013754849342284301,0.5188282996955776,0.5353514090887854
4,0.037710078681369504,-0.5487629050895335,-1.174783682623214,0.034386785309335234,0.9850256909643802,-0.017819060645094545,-0.01823901342857492,0.5159760248353995,0.5441317558993327
5,0.04713759835171188,-0.5359536313619169,-1.1684796032790177,0.04298348163666905,0.9812821137054752,-0.02227382580636818,-0.022665057148934315,0.5129322318695171,0.5528786735424499
6,0.05656511802205425,-0.5231443576343002,-1.1621755239348213,0.051580177964002855,0.9775385364465703,-0.026728590967641817,-0.02702838692458937,0.5096983055361795,0.5615894305528144
7,0.06599263769239663,-0.5103350839066836,-1.1558714445906246,0.06017687429133666,0.9737949591876653,-0.031183356128915454,-0.03132444277529458,0.5062757612640271,0.5702613044637139
8,0.07542015736273901,-0.497525810179067,-1.1495673652464282,0.06877357061867047,0.9700513819287604,-0.03563812129018909,-0.03554870183981994,0.5026662441966882,0.5788915826671691
9,0.08484767703308137,-0.48471653645145046,-1.1432632859022318,0.07737026694600427,0.9663078046698554,-0.04009288645146272,-0.03969668186730248,0.4988715281222287,0.5874775632666387
10,0.09427519670342376,-0.4719072627238339,-1.1369592065580356,0.0859669632733381,0.9625642274109506,-0.04454765161273636,-0.0437639446769337,0.49489351430847234,0.5960165559220924
11,0.10370271637376613,-0.4590979889962172,-1.130655127213839,0.09456365960067191,0.9588206501520455,-0.04900241677401,-0.04774609958349088,0.49073423024529234,0.6045058826872505
12,0.1131302360441085,-0.4462887152686006,-1.1243510478696426,0.10316035592800571,0.9550770728931407,-0.053457181935283635,-0.05163880678626003,0.4863958282950234,0.6129428788387872
13,0.12255775571445086,-0.43347944154098395,-1.1180469685254462,0.11175705225533951,0.9513334956342357,-0.05791194709655727,-0.05543778071893958,0.4818805842522122,0.6213248936973125
14,0.13198527538479327,-0.4206701678133673,-1.1117428891812495,0.12035374858267332,0.9475899183753307,-0.06236671225783091,-0.05913879335815298,0.47719089581398355,0.6296492914399434
15,0.14141279505513563,-0.40786089408575066,-1.1054388098370531,0.12895044491000715,0.9438463411164258,-0.06682147741910455,-0.06273767748824288,0.4723292809623535,0.6379134519042957
16,0.15084031472547801,-0.3950516203581341,-1.0991347304928567,0.13754714123734094,0.9401027638575209,-0.07127624258037818,-0.06623032992006327,0.46729837625988596,0.6461147713837297
17,0.16026783439582037,-0.3822423466305175,-1.0928306511486603,0.14614383756467475,0.936359186598616,-0.07573100774165181,-0.06961271466153274,0.46210093506013544,0.6542506634136858
18,0.16969535406616273,-0.36943307290290084,-1.0865265718044639,0.15474053389200854,0.932615609339711,-0.08018577290292545,-0.07288086603775691,0.45673982563437704,0.662318559548959
19,0.17912287373650515,-0.3566237991752842,-1.0802224924602672,0.16333723021934238,0.928872032080806,-0.08464053806419909,-0.0760308917585764,0.45121802921617804,0.6703159101317757
20,0.1885503934068475,-0.34381452544766766,-1.0739184131160708,0.1719339265466762,0.9251284548219011,-0.08909530322547272,-0.07905897593144667,0.44553863796541204,0.6782401850505237
21,0.19797791307718987,-0.331005251720051,-1.0676143337718744,0.18053062287400998,0.9213848775629961,-0.09355006838674636,-0.0819613820176058,0.4397048528533702,0.6860888744890155
22,0.20740543274753226,-0.3181959779924344,-1.061310254427678,0.18912731920134382,0.9176413003040912,-0.09800483354802,-0.08473445572953485,0.433719981470664,0.6938594896661598
23,0.21683295241787465,-0.30538670426481773,-1.0550061750834814,0.1977240155286776,0.9138977230451862,-0.10245959870929364,-0.08737462786777167,0.42758743575966907,0.7015495635659228
24,0.226260472088217,-0.29257743053720114,-1.048702095739285,0.20632071185601142,0.9101541457862814,-0.10691436387056727,-0.08987841709518637,0.4213107296732954,0.7091566516574738
25,0.23568799175855937,-0.27976815680958456,-1.0423980163950886,0.2149174081833452,0.9064105685273764,-0.1113691290318409,-0.09224243264688606,0.41489347676191435,0.7166783326054154
26,0.24511551142890173,-0.2669588830819679,-1.0360939370508921,0.22351410451067902,0.9026669912684715,-0.11582389419311453,-0.09446337697396451,0.4083393876903154,0.7241122089700001
27,0.25454303109924414,-0.25414960935435127,-1.0297898577066957,0.23211080083801286,0.8989234140095665,-0.12027865935438818,-0.09653804831937217,0.40165226768659956,0.7314559078972442
28,0.26397055076958653,-0.24134033562673468,-1.0234857783624993,0.24070749716534665,0.8951798367506616,-0.12473342451566181,-0.09846334322423572,0.3948360139249586,0.738707081798863
29,0.27339807043992886,-0.22853106189911804,-1.0171816990183027,0.24930419349268046,0.8914362594917566,-0.12918818967693543,-0.10023625896301203,0.38789461284432125,0.7458634090219459
30,0.28282559011027125,-0.21572178817150142,-1.0108776196741063,0.2579008898200143,0.8876926822328517,-0.1336429548382091,-0.1018538959059177,0.38083213740488314,0.7529225945083058
31,0.30042744677696287,-0.18737516384624575,-0.9992045090878112,0.26760014451898334,0.8765619436421795,-0.1344015997627109,-0.10411689892695938,0.3654803351833593,0.7674924942011951
32,0.308601783773312,-0.17183781324860667,-0.9938354778457126,0.2687027028906186,0.8691747823104123,-0.13070547952593908,-0.10474856350128856,0.35717537647538117,0.7749698278477267
33,0.3167761207696612,-0.1563004626509676,-0.9884664466036139,0.26980526126225385,0.861787620978645,-0.1270093592891673,-0.10520590345319572,0.348742758906825,0.7823113102390499
34,0.32495045776601045,-0.14076311205332853,-0.9830974153615154,0.2709078196338891,0.8544004596468779,-0.12331323905239545,-0.10548649684278964,0.3401874622536105,0.7895139233782331
35,0.3331247947623596,-0.12522576145568948,-0.9777283841194168,0.2720103780055244,0.8470132983151107,-0.11961711881562366,-0.10558805225480336,0.33151455182196904,0.7965746936869688
36,0.3412991317587088,-0.10968841085805037,-0.9723593528773181,0.27311293637715967,0.8396261369833435,-0.11592099857885182,-0.10550841109064693,0.3227291748777386,0.8034906932618482
37,0.34947346875505797,-0.0941510602604113,-0.9669903216352194,0.27421549474879486,0.8322389756515762,-0.11222487834208,-0.10524554976288919,0.31383655700700025,0.810259041114807
38,0.3576478057514072,-0.07861370966277223,-0.9616212903931208,0.2753180531204301,0.8248518143198091,-0.1085287581053082,-0.1047975817902161,0.3048419984107586,0.8168769043972081
39,0.3658221427477564,-0.06307635906513316,-0.9562522591510222,0.2764206114920654,0.8174646529880418,-0.10483263786853639,-0.10416275979098104,0.2957508701364178,0.8233414996070533
40,0.37399647974410555,-0.04753900846749409,-0.9508832279089237,0.2775231698637007,0.8100774916562746,-0.10113651763176455,-0.10333947737353985,0.2865686102488633,0.8296500937787937
41,0.3821708167404548,-0.032001657869854996,-0.9455141966668248,0.27862572823533593,0.8026903303245073,-0.09744039739499274,-0.1023262709216454,0.27730071994400846,0.8358000056552438
42,0.390345153736804,-0.016464307272215956,-0.9401451654247264,0.2797282866069712,0.7953031689927402,-0.09374427715822092,-0.10112182127325296,0.26795275960772047,0.8417886068410886
43,0.3985194907331532,-0.0009269566745768731,-0.9347761341826277,0.28083084497860644,0.787916007660973,-0.09004815692144913,-0.09972495529116765,0.25853034482308235,0.8476133229374917
44,0.40669382772950236,0.01461039392306221,-0.929407102940529,0.2819334033502417,0.7805288463292057,-0.08635203668467731,-0.09813464732405248,0.24903914232900023,0.8532716346573154
45,0.41486816472585153,0.030147744520701292,-0.9240380716984303,0.28303596172187695,0.7731416849974385,-0.08265591644790547,-0.09635002055639402,0.23948486593320123,0.8587610789204739
46,0.42304250172220076,0.045685095118340346,-0.9186690404563318,0.28413852009351226,0.7657545236656713,-0.07895979621113368,-0.09437034824611161,0.22987327238271477,0.8640792499289414
47,0.43121683871854993,0.061222445715979415,-0.9133000092142332,0.2852410784651475,0.7583673623339042,-0.07526367597436186,-0.09219505484858,0.22021015719496673,0.8692238002209528
48,0.43939117571489916,0.07675979631361848,-0.9079309779721345,0.28634363683678277,0.7509802010021369,-0.07156755573759004,-0.08982371702592513,0.21050135045264953,0.8741924417039371
