timestamp,x (mm),y (mm),z (mm)
1741709727.5574245,-29.515957386774744,637.4840402000707,173.81261547486665
1741709727.5683715,-29.550025004051662,637.427218973987,173.80479296026334
1741709727.5793164,-29.5019737687891,637.4371278617414,173.80479296026334
1741709727.5903547,-29.43325091155279,637.4422869723367,173.80479296026334
1741709727.6013534,-29.41623220161405,637.4488923885585,173.81261547486665
1741709727.612293,-29.359856214152416,637.4624782100025,173.81261547486665
1741709727.6232903,-29.316345282624553,637.4708616471894,173.81261547486665
1741709727.6343527,-29.291921809721586,637.4730744995832,173.81261547486665
1741709727.6453512,-29.24752165871837,637.4845415619272,173.81261547486665
1741709727.6563528,-29.17025193514712,637.5072972463131,173.80479296026334
1741709727.6673458,-29.177663443627438,637.5116791362138,173.81261547486665
1741709727.678334,-29.1584506890986,637.5214037460366,173.80479296026334
1741709727.6893468,-29.0935318863895,637.5468989410876,173.81261547486665
1741709727.7003481,-29.081268955215265,637.552273099976,173.81261547486665
1741709727.711348,-29.07499958358609,637.5532398746727,173.81261547486665
1741709727.7223458,-29.04229639608546,637.5591295186173,173.81261547486665
1741709727.7333467,-29.04229639608546,637.5591295186173,173.81261547486665
1741709727.744292,-29.05645873265877,637.554595600919,173.80479296026334
1741709727.75535,-29.03003295848606,637.5645023392559,173.81261547486665
1741709727.7663312,-29.03003295848606,637.5645023392559,173.81261547486665
1741709727.7773159,-29.010816964945377,637.5742205471686,173.80479296026334
1741709727.7883255,-28.98562400042816,637.5759463204079,173.81261547486665
1741709727.7993286,-29.004931412447775,637.5750682694681,173.81261547486665
1741709727.8103251,-28.97869536556135,637.5852687146959,173.81261547486665
1741709727.8213222,-28.97335993955477,637.5813175694962,173.81261547486665
1741709727.8323357,-29.0054980015001,637.5752501041472,173.81261547486665
1741709727.843356,-28.973000675212035,637.586412708255,173.81261547486665
1741709727.854349,-28.986297972033185,637.5899472629814,173.81261547486665
1741709727.8653297,-28.928374304605242,637.5925779688998,173.81261547486665
1741709727.8763337,-28.954259503214217,637.587471644082,173.81261547486665
1741709727.8873293,-28.935426025302718,637.597068604096,173.81261547486665
1741709727.898331,-28.889864054208573,637.6081467821841,173.81261547486665
