timestamp,elapsed,j0,j1,j2,j3,j4,j5
1768418124.529235,0.012537240982055664,5.3775739669799805,1.0546143054962158,4.164000511169434,1.2877799272537231,2.1533305644989014,0.24850547313690186
1768418124.5512192,0.03452157974243164,5.3775739669799805,1.0544224977493286,4.163808822631836,1.2873964309692383,2.1533305644989014,0.24850547313690186
1768418124.5732183,0.05652117729187012,5.3775739669799805,1.0544224977493286,4.163808822631836,1.287588119506836,2.1533305644989014,0.24831372499465942
1768418124.595236,0.07853889465332031,5.377765655517578,1.0546143054962158,4.163808822631836,1.287588119506836,2.1533305644989014,0.24850547313690186
1768418124.6172142,0.10051703453063965,5.3775739669799805,1.0546143054962158,4.163808822631836,1.287588119506836,2.153522253036499,0.24831372499465942
1768418124.6392329,0.12253546714782715,5.377765655517578,1.0546143054962158,4.163808822631836,1.287588119506836,2.1533305644989014,0.24831372499465942
1768418124.661215,0.1445176601409912,5.3775739669799805,1.0544224977493286,4.164000511169434,1.287588119506836,2.1533305644989014,0.24850547313690186
1768418124.6833382,0.1666405200958252,5.3775739669799805,1.0546143054962158,4.163808822631836,1.287588119506836,2.153522253036499,0.24850547313690186
1768418124.7053027,0.18860578536987305,5.377765655517578,1.0546143054962158,4.163808822631836,1.287588119506836,2.1533305644989014,0.24831372499465942
1768418124.7272465,0.21054887771606445,5.377957344055176,1.0544224977493286,4.164000511169434,1.2873964309692383,2.153522253036499,0.24850547313690186
1768418124.7492945,0.23259663581848145,5.377765655517578,1.0546143054962158,4.164000511169434,1.287588119506836,2.153522253036499,0.248121976852417
1768418124.7712975,0.25459957122802734,5.377382278442383,1.0546143054962158,4.163808822631836,1.287588119506836,2.1533305644989014,0.248121976852417
1768418124.7932897,0.2765920162200928,5.3775739669799805,1.0546143054962158,4.164000511169434,1.2873964309692383,2.1533305644989014,0.248121976852417
1768418124.8152735,0.29857587814331055,5.377765655517578,1.0544224977493286,4.163808822631836,1.287588119506836,2.1533305644989014,0.24831372499465942
1768418124.8372548,0.3205568790435791,5.377765655517578,1.0548059940338135,4.163808822631836,1.287588119506836,2.153522253036499,0.248121976852417
1768418124.8592541,0.3425562381744385,5.377765655517578,1.0546143054962158,4.163808822631836,1.287588119506836,2.153522253036499,0.24831372499465942
1768418124.8812475,0.3645496368408203,5.3775739669799805,1.0548059940338135,4.164000511169434,1.287588119506836,2.1533305644989014,0.24831372499465942
1768418124.9032485,0.3865506649017334,5.377765655517578,1.0546143054962158,4.164000511169434,1.287588119506836,2.153522253036499,0.24831372499465942
1768418124.9251971,0.40850019454956055,5.3775739669799805,1.0544224977493286,4.164192199707031,1.287588119506836,2.153522253036499,0.24831372499465942
1768418124.9472487,0.43055081367492676,5.377765655517578,1.0544224977493286,4.164192199707031,1.2873964309692383,2.153522253036499,0.24831372499465942
1768418124.9692514,0.45255351066589355,5.3775739669799805,1.0546143054962158,4.164000511169434,1.2877799272537231,2.153522253036499,0.24831372499465942
1768418124.9912517,0.47455382347106934,5.3775739669799805,1.0544224977493286,4.164000511169434,1.2873964309692383,2.153522253036499,0.24831372499465942
