time,target_x,target_y,target_z,actual_x,actual_y,actual_z,vel_x,vel_y,vel_z,accel_x,accel_y,accel_z
0.001,0.4,-0.25,0.4,3.7571936370368756e-17,0.43482066392809077,0.4293317252638835,0.02613255715931104,-0.03377534599691934,0.003434598586427252,26.13255715931104,-33.775345996919334,3.434598586427252
0.002,0.4,-0.2499999999219043,0.4,2.6132167114884393e-05,0.4347868836099324,0.4293351563205817,0.05249261155351581,-0.0671307464467011,0.006116013727554483,26.36005439420477,-33.35540044978176,2.6814151411272307
0.003,0.4,-0.24999999937546866,0.4,7.862326918099348e-05,0.4347197334434227,0.4293412584541794,0.07899250849511306,-0.10008294954632087,0.008076050800536262,26.499896941597253,-32.95220309961977,1.9600370729817789
0.004,0.4,-0.24999999789299734,0.4,0.00015761246616182207,0.43461960782644204,0.42934930392449894,0.10555367981073394,-0.13264629481576257,0.009345704542550055,26.56117131562087,-32.5633452694417,1.2696537420137932
0.005,0.4,-0.249999995007497,0.4,0.00026316036833096753,0.4344868874610332,0.4293585964235974,0.13210589370103978,-0.16483311532376518,0.009955104204459036,26.552213890305847,-32.18682050800262,0.6093996619089808
0.006,0.4,-0.24999999025267639,0.4,0.0003952573547628411,0.4343219413301788,0.42936847021198493,0.15858654427833987,-0.196654079339349,0.00993346483165404,26.48065057730009,-31.82096401558382,-0.021639372804995588
0.007,0.4,-0.24999998316294597,0.4,0.0005538311890430775,0.4341251283351842,0.4293782892042843,0.1849399833127058,-0.22811847947805217,0.009309046925810523,26.353439034365934,-31.464400138703162,-0.6244179058435169
0.008,0.4,-0.24999997327341755,0.4,0.0007387539722549122,0.4338967986456525,0.42938744601258944,0.21111689540638923,-0.259234476481095,0.008109125542286775,26.17691209368342,-31.11599700304282,-1.1999213835237488
0.009000000000000001,0.4,-0.249999960119904,0.4,0.0009498484750081985,0.43363729480703744,0.4293953609569645,0.23707371678532949,-0.2900093039178612,0.006359969044014432,25.95682137894026,-30.774827436766238,-1.7491564982723427
0.010000000000000002,0.4,-0.2499999432389188,0.4,0.0011868938908604478,0.43334695264455925,0.42940148105283915,0.26277209710226285,-0.32044943933479986,0.004086827175258351,25.69838031693336,-30.440135416938627,-2.273141868756081
0.011000000000000003,0.4,-0.24999992216767578,0.4,0.0014496310531799147,0.43302610199682723,0.4294052789847602,0.28804828234217045,-0.3505834398485926,0.0013013929680339993,25.2761852399076,-30.134000513792724,-2.785434207224351
0.012000000000000004,0.4,-0.2499998964440887,0.4,0.0017376368956369434,0.4326750447464378,0.429406239622218,0.3130229391266557,-0.3803908926248837,-0.001959125760101945,24.974656784485237,-29.807452776291097,-3.2605187281359442
0.013000000000000005,0.4,-0.249999865606771,0.4,0.002050609155356769,0.43229410350632963,0.42940388536287777,0.3376682935024386,-0.4098771393658767,-0.0056727247377408,24.64535437578291,-29.48624674099304,-3.7135989776388554
0.014000000000000005,0.4,-0.24999982919503527,0.4,0.002388217801252008,0.431883595972147,0.42939776099461585,0.36196027395245595,-0.4390471582015328,-0.009818360295761951,24.29198045001735,-29.170018835656062,-4.145635558021151
0.015000000000000006,0.4,-0.2499997867488931,0.4,0.002750108740481743,0.4314438352663038,0.4293874327226732,0.3858781384779021,-0.4679056339777108,-0.014375931320293335,23.91786452544614,-28.858475776178004,-4.557571024531383
0.016000000000000007,0.4,-0.24999973780905457,0.4,0.003135907151707809,0.43097513021216116,0.42937248721408994,0.40940413561670325,-0.49645701517623747,-0.01932625692141142,23.525997138801156,-28.55138119852668,-4.9503256011180845
0.017000000000000008,0.4,-0.249999681916928,0.4,0.0035452204789507566,0.43047778555168126,0.42935253066387746,0.4325231969252575,-0.5247055596145814,-0.02465105065936273,23.119061308554233,-28.24854443834396,-5.324793737951309
0.01800000000000001,0.4,-0.24999961861461956,0.4,0.003977641117427609,0.42995210211777646,0.42932718788652435,0.45522265850505866,-0.5526553707656372,-0.030332892088274,22.699461579801184,-27.94981115105577,-5.681841428911271
0.01900000000000001,0.4,-0.2499995474449329,0.4,0.00443274882038162,0.42939837697075,0.4292961014356662,0.47749200923905905,-0.5803104262702186,-0.036355196289505634,22.26935073400038,-27.65505550458136,-6.022304201231634
0.02000000000000001,0.4,-0.24999946795136885,0.4,0.004910112853604093,0.42881690350664187,0.42925893075405575,0.4993226635059316,-0.6076745999818145,-0.042702181978763985,21.83065426687253,-27.36417371159594,-6.346985689258351
0.02100000000000001,0.4,-0.249999379678125,0.4,0.005409293922143494,0.4282079715439682,0.42921535135537325,0.5207077562569422,-0.6347516786810196,-0.04935883868653525,21.385092751010635,-27.07707869920506,-6.656656707771262
0.022000000000000013,0.4,-0.2499992821700954,0.4,0.005929845891590596,0.427571867394195,0.4291650540389052,0.5416419584645468,-0.6615453744220736,-0.05631089343275602,20.934202207604557,-26.79369574105406,-6.952054746220772
0.023000000000000013,0.4,-0.24999917497287022,0.4,0.006471317324353372,0.4269088739203333,0.42910774413768016,0.5621213110799818,-0.6880593333228743,-0.063544777245241,20.479352615434987,-26.51395890080066,-7.233883812484986
0.024000000000000014,0.4,-0.24999905763273533,0.4,0.007033252849475554,0.42621927058722114,0.4290431408002934,0.582143075765678,-0.7142971414796065,-0.07104759180778981,20.021764685696276,-26.237808156732267,-7.502814562548809
0.025000000000000015,0.4,-0.249998929696672,0.4,0.007615194382819967,0.42550333350638253,0.4289709763063532,0.6017056007950159,-0.740262328575192,-0.0788070764682895,19.562525029337863,-25.965187095585485,-7.759484660499679
