timestamp,model_name,goal_image,curr_j0,curr_j1,curr_j2,curr_j3,curr_j4,curr_j5,cmd_j0,cmd_j1,cmd_j2,cmd_j3,cmd_j4,cmd_j5,delta_j0,delta_j1,delta_j2,delta_j3,delta_j4,delta_j5
1769212350.031823,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,0.18659836053848267,-1.3240307569503784,-1.697015643119812,1.9390482902526855,1.4019720554351807,2.846003770828247,0.15758593380451202,-1.3232288360595703,-1.6811665296554565,1.9202616214752197,1.385341763496399,2.81520938873291,-0.02901243045926094,0.0008019246160984039,0.015849102288484573,-0.018786678090691566,-0.01663026586174965,-0.030794315040111542
1769212350.0438805,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,0.18659836053848267,-1.3240611553192139,-1.697015643119812,1.9390180110931396,1.4019871950149536,2.8460190296173096,0.15743832290172577,-1.3231624364852905,-1.6811178922653198,1.919983983039856,1.3854752779006958,2.8153698444366455,-0.029160037636756897,0.0008987233159132302,0.015897732228040695,-0.01903397962450981,-0.016511928290128708,-0.03064923733472824
1769212350.1431496,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,0.1784801483154297,-1.323849081993103,-1.6938046216964722,1.934959053993225,1.3962620496749878,2.837416172027588,0.1492268294095993,-1.323021650314331,-1.6778002977371216,1.9160118103027344,1.3801891803741455,2.806908130645752,-0.029253322631120682,0.0008273874991573393,0.016004296019673347,-0.01894725114107132,-0.01607280969619751,-0.030508138239383698
1769212350.2425997,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,0.16445496678352356,-1.323879361152649,-1.687534213066101,1.9264166355133057,1.3872804641723633,2.822042942047119,0.13476163148880005,-1.3230620622634888,-1.6716444492340088,1.9074296951293945,1.3720066547393799,2.7927281856536865,-0.029693331569433212,0.0008173491805791855,0.01588977687060833,-0.018986931070685387,-0.015273774042725563,-0.029314786195755005
1769212350.3418748,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,0.15300461649894714,-1.3237582445144653,-1.6824148893356323,1.9183286428451538,1.3801770210266113,2.8082146644592285,0.12309712171554565,-1.32291579246521,-1.6668757200241089,1.8993070125579834,1.365814208984375,2.7805936336517334,-0.029907498508691788,0.0008423982071690261,0.015539211221039295,-0.019021593034267426,-0.014362786896526814,-0.027621064335107803
1769212350.4417794,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,0.14000940322875977,-1.3240004777908325,-1.677659034729004,1.9096955060958862,1.3729523420333862,2.7950527667999268,0.10974017530679703,-1.3226970434188843,-1.6623035669326782,1.8911508321762085,1.3590362071990967,2.7688488960266113,-0.03026922605931759,0.0013034403091296554,0.015355518087744713,-0.01854471117258072,-0.013916164636611938,-0.02620379626750946
1769212350.5409505,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,0.1280137598514557,-1.3241217136383057,-1.6732970476150513,1.9019105434417725,1.3665305376052856,2.782663345336914,0.09710380434989929,-1.3220446109771729,-1.6583054065704346,1.8841344118118286,1.3531941175460815,2.7575743198394775,-0.030909955501556396,0.0020770858973264694,0.01499158889055252,-0.01777610555291176,-0.013336412608623505,-0.02508910559117794
1769212350.6426935,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,0.11477620899677277,-1.3242125511169434,-1.6678444147109985,1.8930953741073608,1.3595633506774902,2.7705163955688477,0.08277490735054016,-1.321471095085144,-1.6535004377365112,1.8761053085327148,1.3471601009368896,2.746892213821411,-0.0320013053715229,0.0027414639480412006,0.014343984425067902,-0.016990110278129578,-0.012403199449181557,-0.023624174296855927
1769212350.7432702,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,0.10196270048618317,-1.3240004777908325,-1.6630582809448242,1.8852498531341553,1.353308081626892,2.7596263885498047,0.06906425207853317,-1.321051001548767,-1.6493314504623413,1.8688925504684448,1.341658115386963,2.7376606464385986,-0.032898448407649994,0.0029494301415979862,0.013726849108934402,-0.016357259824872017,-0.011649958789348602,-0.021965637803077698
1769212350.8442464,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,0.08917947113513947,-1.3238188028335571,-1.6575452089309692,1.8780403137207031,1.348309874534607,2.750054121017456,0.05579153448343277,-1.320879340171814,-1.6440186500549316,1.862500786781311,1.336879849433899,2.7289910316467285,-0.033387936651706696,0.002939460566267371,0.013526588678359985,-0.015539504587650299,-0.011430054903030396,-0.021063182502985
