timestamp,model_type,goal_image,similarity_score,curr_j0,curr_j1,curr_j2,curr_j3,curr_j4,curr_j5,cmd_j0,cmd_j1,cmd_j2,cmd_j3,cmd_j4,cmd_j5,step_diff_j0,step_diff_j1,step_diff_j2,step_diff_j3,step_diff_j4,step_diff_j5
1769651304.3907259,full,goal11.png,0.6726137399673462,0.07415466010570526,-0.7818957567214966,-2.3406894207000732,1.5715160369873047,1.3457502126693726,3.0194857120513916,-0.010139241814613342,-0.6537570357322693,-2.2314059734344482,1.4971266984939575,1.3351006507873535,2.982095956802368,-0.0842939019203186,0.1281387209892273,0.109283447265625,-0.07438933849334717,-0.010649561882019043,-0.03738975524902344
1769651304.4085784,full,goal11.png,0.6726137399673462,0.07406380772590637,-0.7818048596382141,-2.3406288623809814,1.571455478668213,1.3457350730895996,3.019470691680908,-0.007806248962879181,-0.6567862033843994,-2.230635643005371,1.4959145784378052,1.3360344171524048,2.98252534866333,-0.08187005668878555,0.1250186562538147,0.10999321937561035,-0.07554090023040771,-0.009700655937194824,-0.036945343017578125
1769651304.4789078,full,goal11.png,0.6585421562194824,0.07315503060817719,-0.7816230654716492,-2.3406288623809814,1.571455478668213,1.3457502126693726,3.0194857120513916,-0.006125710904598236,-0.659288227558136,-2.2304794788360596,1.4946389198303223,1.336511254310608,2.981414794921875,-0.07928074151277542,0.12233483791351318,0.11014938354492188,-0.07681655883789062,-0.009238958358764648,-0.0380709171295166
1769651304.5823333,full,goal11.png,0.6435972452163696,0.0394703671336174,-0.7560567259788513,-2.3097310066223145,1.5240182876586914,1.3395555019378662,2.9964184761047363,-0.007235396653413773,-0.6553768515586853,-2.2283740043640137,1.4927476644515991,1.334643840789795,2.9772164821624756,-0.046705763787031174,0.10067987442016602,0.08135700225830078,-0.031270623207092285,-0.004911661148071289,-0.019201993942260742
1769651304.6824749,full,goal11.png,0.639013946056366,0.0030897241085767746,-0.7107095718383789,-2.2659289836883545,1.5039347410202026,1.3379802703857422,2.986815929412842,-0.015052873641252518,-0.6488769054412842,-2.222903251647949,1.4893442392349243,1.331541895866394,2.978498697280884,-0.018142597749829292,0.06183266639709473,0.04302573204040527,-0.01459050178527832,-0.0064383745193481445,-0.008317232131958008
1769651304.7790964,full,goal11.png,0.6701858043670654,-0.006846040952950716,-0.6677253842353821,-2.2362425327301025,1.496543526649475,1.3356326818466187,2.9810149669647217,-0.030114492401480675,-0.6336916089057922,-2.2165327072143555,1.4820972681045532,1.3269153833389282,2.980255126953125,-0.023268451914191246,0.034033775329589844,0.01970982551574707,-0.014446258544921875,-0.00871729850769043,-0.0007598400115966797
1769651304.879141,full,goal11.png,0.680503249168396,-0.012298556976020336,-0.6619396209716797,-2.2296390533447266,1.4923934936523438,1.333163857460022,2.9793338775634766,-0.04576628655195236,-0.6129856109619141,-2.212736129760742,1.4719569683074951,1.3222788572311401,2.9803948402404785,-0.03346772864460945,0.048954010009765625,0.016902923583984375,-0.020436525344848633,-0.010885000228881836,0.0010609626770019531
1769651304.9813082,full,goal11.png,0.6809388995170593,-0.024112442508339882,-0.6575775742530823,-2.2252466678619385,1.485698938369751,1.329543948173523,2.980015516281128,-0.060016095638275146,-0.5886243581771851,-2.2109789848327637,1.4615389108657837,1.3196336030960083,2.976940631866455,-0.035903654992580414,0.06895321607589722,0.014267683029174805,-0.024160027503967285,-0.009910345077514648,-0.0030748844146728516
1769651305.0790935,full,goal11.png,0.6884151101112366,-0.040712401270866394,-0.6365548372268677,-2.2185521125793457,1.4776413440704346,1.3253183364868164,2.980515241622925,-0.07284887135028839,-0.5678837895393372,-2.211280345916748,1.4536724090576172,1.315679669380188,2.9732813835144043,-0.032136470079422,0.06867104768753052,0.007271766662597656,-0.023968935012817383,-0.009638667106628418,-0.007233858108520508
1769651305.1793444,full,goal11.png,0.6750903129577637,-0.05703974515199661,-0.6185311675071716,-2.214765787124634,1.4663726091384888,1.3219103813171387,2.9778950214385986,-0.08499282598495483,-0.5510115027427673,-2.2126641273498535,1.449202537536621,1.3120718002319336,2.9773075580596924,-0.02795308083295822,0.0675196647644043,0.0021016597747802734,-0.017170071601867676,-0.009838581085205078,-0.00058746337890625
