timestamp,model_type,goal_image,similarity_score,curr_j0,curr_j1,curr_j2,curr_j3,curr_j4,curr_j5,cmd_j0,cmd_j1,cmd_j2,cmd_j3,cmd_j4,cmd_j5,step_diff_j0,step_diff_j1,step_diff_j2,step_diff_j3,step_diff_j4,step_diff_j5
1769719900.617929,rgb,goal16.png,0.706658661365509,0.2711128890514374,-1.3960044384002686,-1.4583756923675537,1.7646878957748413,1.5456316471099854,3.086082696914673,0.07111288607120514,-1.1960043907165527,-1.6583757400512695,1.635020136833191,1.399536371231079,3.109975814819336,-0.20000000298023224,0.20000000298023224,-0.20000000298023224,-0.1296677589416504,-0.14609527587890625,0.023893117904663086
1769719900.6309502,rgb,goal16.png,0.7097136974334717,0.2711128890514374,-1.3960044384002686,-1.4583756923675537,1.7648394107818604,1.5456165075302124,3.0860979557037354,0.07111288607120514,-1.1960043907165527,-1.6583757400512695,1.6415581703186035,1.3976123332977295,3.109774589538574,-0.20000000298023224,0.20000000298023224,-0.20000000298023224,-0.12328124046325684,-0.1480041742324829,0.023676633834838867
1769719900.7188592,rgb,goal16.png,0.697104811668396,0.25917795300483704,-1.3880376815795898,-1.4701895713806152,1.7479060888290405,1.5233821868896484,3.087521553039551,0.0591779500246048,-1.188037633895874,-1.670189619064331,1.6509392261505127,1.4016376733779907,3.104745388031006,-0.20000000298023224,0.20000000298023224,-0.20000000298023224,-0.09696686267852783,-0.12174451351165771,0.017223834991455078
1769719900.8221264,rgb,goal16.png,0.6838763952255249,0.22373636066913605,-1.3515056371688843,-1.506661057472229,1.6895033121109009,1.454528570175171,3.0872790813446045,0.030174776911735535,-1.1515055894851685,-1.698941707611084,1.6645150184631348,1.4013139009475708,3.059535264968872,-0.1935615837574005,0.20000000298023224,-0.19228065013885498,-0.024988293647766113,-0.0532146692276001,-0.027743816375732422
1769719900.9189684,rgb,goal16.png,0.7218109369277954,0.17514808475971222,-1.3153976202011108,-1.5506147146224976,1.6587568521499634,1.4122107028961182,3.0939736366271973,0.005615800619125366,-1.115397572517395,-1.7085676193237305,1.6909730434417725,1.3954694271087646,2.975358247756958,-0.16953228414058685,0.20000000298023224,-0.1579529047012329,0.03221619129180908,-0.016741275787353516,-0.11861538887023926
1769719901.0201135,rgb,goal16.png,0.6718039512634277,0.1274988055229187,-1.2824703454971313,-1.5958102941513062,1.6692379713058472,1.4084999561309814,3.0489749908447266,-0.005074739456176758,-1.0824702978134155,-1.705843448638916,1.7377398014068604,1.3854044675827026,2.8811769485473633,-0.13257354497909546,0.20000000298023224,-0.11003315448760986,0.06850183010101318,-0.02309548854827881,-0.16779804229736328
1769719901.1180277,rgb,goal16.png,0.6888351440429688,0.08587761968374252,-1.2480283975601196,-1.643762469291687,1.6973185539245605,1.4013813734054565,2.984180450439453,-0.005387686192989349,-1.0480283498764038,-1.6955974102020264,1.7867748737335205,1.3805327415466309,2.8100461959838867,-0.09126530587673187,0.20000000298023224,-0.051834940910339355,0.08945631980895996,-0.020848631858825684,-0.1741342544555664
1769719901.2156503,rgb,goal16.png,0.7075182795524597,0.05955394729971886,-1.2258849143981934,-1.6711463928222656,1.7184926271438599,1.401699423789978,2.939060688018799,0.007590431720018387,-1.0258848667144775,-1.7015454769134521,1.8440916538238525,1.3735220432281494,2.755817413330078,-0.05196351557970047,0.20000000298023224,-0.030399084091186523,0.12559902667999268,-0.028177380561828613,-0.1832432746887207
1769719901.3155863,rgb,goal16.png,0.7384581565856934,0.01490360964089632,-1.1790839433670044,-1.701256513595581,1.7675960063934326,1.4012449979782104,2.864875555038452,0.04221644997596741,-0.9790839552879333,-1.741771936416626,1.9196243286132812,1.355008840560913,2.7058701515197754,0.02731284126639366,0.20000000298023224,-0.04051542282104492,0.15202832221984863,-0.04623615741729736,-0.15900540351867676
1769719901.4155986,rgb,goal16.png,0.7165069580078125,-0.0007573650800623,-1.1357965469360352,-1.7031952142715454,1.821030855178833,1.3950200080871582,2.8006718158721924,0.06553204357624054,-0.9357965588569641,-1.7731568813323975,2.0055150985717773,1.3306221961975098,2.6248226165771484,0.06628940999507904,0.20000000298023224,-0.06996166706085205,0.18448424339294434,-0.06439781188964844,-0.17584919929504395
1769719901.5231452,rgb,goal16.png,0.7446987628936768,0.04340830072760582,-1.07896888256073,-1.744604229927063,1.8959429264068604,1.3781777620315552,2.722336769104004,0.03791651502251625,-0.8789688944816589,-1.7620880603790283,2.095942974090576,1.3032183647155762,2.522336721420288,-0.005491785705089569,0.20000000298023224,-0.017483830451965332,0.20000000298023224,-0.074959397315979,-0.20000000298023224
1769719901.618766,rgb,goal16.png,0.7457209825515747,0.06482476741075516,-1.0368025302886963,-1.762294888496399,1.9517405033111572,1.3665759563446045,2.6642673015594482,0.07481873035430908,-0.8555301427841187,-1.7511812448501587,2.151740550994873,1.3009233474731445,2.472381830215454,0.009993962943553925,0.18127238750457764,0.011113643646240234,0.20000000298023224,-0.06565260887145996,-0.19188547134399414
1769719901.7197304,rgb,goal16.png,0.7566541433334351,0.05122368782758713,-0.9910616874694824,-1.761325478553772,2.012324571609497,1.3648643493652344,2.5915513038635254,0.1355050653219223,-0.8372328281402588,-1.7385220527648926,2.1867055892944336,1.3036690950393677,2.4133267402648926,0.08428137749433517,0.15382885932922363,0.022803425788879395,0.17438101768493652,-0.0611952543258667,-0.1782245635986328
1769719901.819186,rgb,goal16.png,0.7230781316757202,0.06682401895523071,-0.9494102001190186,-1.755660891532898,2.06872820854187,1.3564887046813965,2.529498338699341,0.18104594945907593,-0.8160956501960754,-1.732389211654663,2.2064006328582764,1.3009676933288574,2.349358558654785,0.11422193050384521,0.13331454992294312,0.023271679878234863,0.13767242431640625,-0.05552101135253906,-0.18013978004455566
1769719901.9220672,rgb,goal16.png,0.7017095685005188,0.12462105602025986,-0.9065168499946594,-1.7444225549697876,2.1240108013153076,1.350975513458252,2.4649159908294678,0.20749877393245697,-0.773553192615509,-1.7403210401535034,2.2195916175842285,1.2940168380737305,2.279499053955078,0.08287771791219711,0.1329636573791504,0.00410151481628418,0.0955808162689209,-0.056958675384521484,-0.18541693687438965
1769719902.0167031,rgb,goal16.png,0.732446551322937,0.1598808616399765,-0.8784664869308472,-1.74148428440094,2.163632869720459,1.3452503681182861,2.4205987453460693,0.20091773569583893,-0.7320234775543213,-1.7445372343063354,2.23014497756958,1.2864513397216797,2.2205986976623535,0.04103687405586243,0.14644300937652588,-0.003052949905395508,0.0665121078491211,-0.058799028396606445,-0.20000000298023224
1769719902.116356,rgb,goal16.png,0.6563845872879028,0.19256582856178284,-0.8357850909233093,-1.743544101715088,2.2111611366271973,1.3414185047149658,2.35500168800354,0.19966088235378265,-0.6914610862731934,-1.7552006244659424,2.2181382179260254,1.2920066118240356,2.1555819511413574,0.007095053791999817,0.14432400465011597,-0.011656522750854492,0.006977081298828125,-0.049411892890930176,-0.19941973686218262
