idx,q1,q2,q3,q4,q5,q6,x,y,z
0,0.0,-0.6,-1.2,0.0,1.0,0.0,-3.932952188097696e-17,0.5262241464003998,0.5088372250228328
1,0.00759816988585322,-0.5935193606242174,-1.1836534270598502,-0.004615078572276424,0.9994077219303519,-0.003991945770912705,-0.00415978453611115,0.525582047411302,0.5180705286146254
2,0.01519633977170644,-0.5870387212484347,-1.1673068541197003,-0.009230157144552848,0.9988154438607038,-0.00798389154182541,-0.008306741289996093,0.5247143056246706,0.5273133230245806
3,0.02279450965755966,-0.580558081872652,-1.1509602811795503,-0.013845235716829272,0.9982231657910556,-0.011975837312738118,-0.012436205935212823,0.5236208059752957,0.5365613197485536
4,0.03039267954341288,-0.5740774424968694,-1.1346137082394003,-0.018460314289105696,0.9976308877214074,-0.01596778308365082,-0.016543510291496644,0.5223015997147771,0.5458102241393049
5,0.0379908494292661,-0.5675968031210868,-1.1182671352992506,-0.023075392861382122,0.9970386096517594,-0.01995972885456353,-0.020623986887258,0.5207569045205226,0.5550557376201621
6,0.04558901931511932,-0.5611161637453042,-1.1019205623591006,-0.027690471433658544,0.9964463315821113,-0.023951674625476236,-0.024672973522964405,0.5189871044601695,0.5642935598991399
7,0.05318718920097253,-0.5546355243695216,-1.0855739894189507,-0.03230555000593496,0.995854053512463,-0.027943620396388938,-0.028685817831126843,0.5169927498115195,0.5735193911823698
8,0.06078535908682576,-0.5481548849937389,-1.069227416478801,-0.03692062857821139,0.9952617754428149,-0.03193556616730164,-0.032657881828614704,0.5147745567382079,0.5827289343856923
9,0.06838352897267898,-0.5416742456179563,-1.052880843538651,-0.041535707150487815,0.9946694973731669,-0.035927511938214356,-0.03658454645703792,0.5123334068214564,0.5919178973432638
10,0.0759816988585322,-0.5351936062421736,-1.036534270598501,-0.046150785722764244,0.9940772193035187,-0.03991945770912706,-0.04046121610694563,0.5096703464483903,0.6010819950120397
11,0.08357986874438542,-0.528712966866391,-1.0201876976583513,-0.05076586429504066,0.9934849412338705,-0.04391140348003976,-0.04428332312161085,0.5067865860575336,0.6102169516709904
12,0.09117803863023864,-0.5222323274906084,-1.0038411247182015,-0.05538094286731709,0.9928926631642225,-0.04790334925095247,-0.04804633227619062,0.5036834992422214,0.619318503113919
13,0.09877620851609185,-0.5157516881148257,-0.9874945517780516,-0.05999602143959351,0.9923003850945742,-0.05189529502186518,-0.05174574522808216,0.500362621712796,0.6283823988347498
14,0.10637437840194507,-0.509271048739043,-0.9711479788379016,-0.06461110001186993,0.9917081070249261,-0.055887240792777876,-0.05537710493431762,0.4968256501185874,0.637404404204164
15,0.1139725482877983,-0.5027904093632605,-0.9548014058977516,-0.06922617858414637,0.9911158289552779,-0.059879186563690595,-0.058936000031880126,0.4930744407307985,0.6463803026364662
16,0.12157071817365152,-0.49630976998747783,-0.9384548329576019,-0.07384125715642278,0.9905235508856298,-0.06387113233460329,-0.06241806917686057,0.48911100798754076,0.6553058977455648
17,0.12916888805950472,-0.4898291306116952,-0.9221082600174519,-0.0784563357286992,0.9899312728159817,-0.06786307810551599,-0.0658190053384095,0.4849375229023995,0.6641770154889713
18,0.13676705794535796,-0.4833484912359126,-0.9057616870773021,-0.08307141430097563,0.9893389947463336,-0.07185502387642871,-0.06913456004349346,0.4805563113380144,0.6729895062987116
19,0.14436522783121117,-0.4768678518601299,-0.8894151141371522,-0.08768649287325206,0.9887467166766855,-0.0758469696473414,-0.07236054756850395,0.4759698521462975,0.68173924719807
20,0.1519633977170644,-0.47038721248434734,-0.8730685411970023,-0.09230157144552849,0.9881544386070373,-0.07983891541825412,-0.07549284907382553,0.471180775177022,0.6904221439030795
21,0.15956156760291762,-0.4639065731085647,-0.8567219682568524,-0.0969166500178049,0.9875621605373892,-0.08383086118916683,-0.07852741667752326,0.4661918591566328,0.6990341329076949
22,0.16715973748877083,-0.45742593373278206,-0.8403753953167026,-0.10153172859008132,0.9869698824677411,-0.08782280696007952,-0.08146027746436742,0.46100602943925184,0.7075711835515821
23,0.17475790737462407,-0.45094529435699937,-0.8240288223765526,-0.10614680716235776,0.986377604398093,-0.09181475273099224,-0.08428753742647832,0.4556263556319566,0.7160293000694796
24,0.18235607726047728,-0.44446465498121673,-0.8076822494364028,-0.11076188573463418,0.9857853263284448,-0.09580669850190494,-0.08700538533193844,0.4500560490965305,0.7244045236210889
25,0.18995424714633047,-0.4379840156054341,-0.7913356764962529,-0.11537696430691059,0.9851930482587966,-0.09979864427281764,-0.08961009651779003,0.4442984603299888,0.7326929343004717
26,0.1975524170321837,-0.4315033762296515,-0.774989103556103,-0.11999204287918702,0.9846007701891485,-0.10379059004373035,-0.09209803660390475,0.43835707622628983,0.7408906531239318
27,0.20515058691803692,-0.4250227368538689,-0.7586425306159532,-0.12460712145146345,0.9840084921195004,-0.10778253581464306,-0.09446566512429304,0.43223551722175513,0.7489938439953872
28,0.21274875680389013,-0.41854209747808624,-0.7422959576758034,-0.12922220002373985,0.9834162140498522,-0.11177448158555575,-0.09670953907249634,0.42593753432681347,0.7569987156482344
