Method,Num Episodes,Success Rate (%),Avg Vis. Align,Avg Jerk (m/s^3),Avg Framing Err (px),Avg SRR (%),Avg Path Len (m)
expert,10,90.0,0.8738999999999999,3.6358803,105.7,67.11999999999999,0.62725
policy_full,13,46.15384615384615,0.8466923076923076,0.6127346923076923,183.55384615384614,32.65384615384615,0.6981846153846154
policy_incremental,6,0.0,0.6356,0.8271876666666667,103.13333333333333,35.166666666666664,0.44871666666666665
policy_rgb_only,3,0.0,0.5835333333333333,1.6540783333333333,112.96666666666665,7.233333333333333,1.3778
policy_visual,4,0.0,0.5364,1.5852864999999998,162.10000000000002,7.25,1.7737
rrt,4,0.0,0.6355500000000001,0.222854,219.575,10.5,0.57605
