idx,q1,q2,q3,q4,q5,q6,x,y,z
0,-1.5662959743108331,-0.07480249677122487,-2.6528049581560156,0.0050185168685892515,1.1568233308473883,0.383678006955965,0.19998280171031663,0.000703238757853665,0.2999351578968112
1,-1.5682730265285243,-0.08407625429087864,-2.63854650367933,0.003654460223034765,1.1484948330404514,0.3898478675566998,0.2042820119646518,0.0003727159131819112,0.3002469773794406
2,-1.5702500787462157,-0.09335001181053243,-2.6242880492026446,0.0022904035774802788,1.1401663352335143,0.39601772815743463,0.20857458177059482,2.480409404294616e-05,0.30054068386515836
3,-1.5722271309639069,-0.10262376933018619,-2.610029594725959,0.0009263469319257932,1.1318378374265774,0.40218758875816946,0.2128601835809579,-0.0003404704472655896,0.30081628247589054
4,-1.5742041831815983,-0.11189752684983997,-2.595771140249274,-0.00043770971362869313,1.1235093396196403,0.4083574493589043,0.2171384902381328,-0.0007230790867411179,0.30107378038417537
5,-1.5761812353992894,-0.12117128436949376,-2.581512685772588,-0.0018017663591831795,1.1151808418127032,0.4145273099596391,0.22140917500644047,-0.0011229908307617432,0.3013131868121662
6,-1.5781582876169806,-0.13044504188914752,-2.567254231295903,-0.003165823004737666,1.1068523440057663,0.4206971705603739,0.22567191160444275,-0.0015401723184725903,0.3015345130304328
7,-1.580135339834672,-0.1397187994088013,-2.552995776819218,-0.004529879650292152,1.0985238461988294,0.4268670311611088,0.22992637423721352,-0.0019745878244675726,0.30173777235656646
8,-1.5821123920523634,-0.1489925569284551,-2.5387373223425325,-0.005893936295846638,1.0901953483918922,0.4330368917618436,0.234172237628561,-0.0024261992617694056,0.301922980153582
9,-1.5840894442700546,-0.15826631444810885,-2.524478867865847,-0.007257992941401125,1.0818668505849554,0.43920675236257845,0.23840917705320236,-0.00289496618510873,0.30209015382812343
10,-1.5860664964877458,-0.16754007196776263,-2.5102204133891615,-0.00862204958695561,1.0735383527780185,0.44537661296331327,0.24263686836888593,-0.0033808457944969417,0.30223931282846717
11,-1.5880435487054372,-0.17681382948741642,-2.495961958912476,-0.009986106232510096,1.0652098549710813,0.4515464735640481,0.2468549880484563,-0.0038837929390984657,0.3023704786423289
12,-1.5900206009231284,-0.18608758700707018,-2.4817035044357905,-0.011350162878064583,1.0568813571641442,0.45771633416478286,0.25106321321186076,-0.004403760121396514,0.3024836747944681
13,-1.5919976531408198,-0.195361344526724,-2.467445049959105,-0.01271421952361907,1.0485528593572073,0.46388619476551773,0.2552612216580921,-0.004940697501655618,0.30257892684409504
14,-1.593974705358511,-0.20463510204637775,-2.4531865954824195,-0.014078276169173556,1.0402243615502702,0.4700560553662525,0.25944869189706565,-0.005494552902677826,0.3026562623820777
15,-1.5959517575762021,-0.21390885956603153,-2.4389281410057344,-0.01544233281472804,1.0318958637433333,0.4762259159669874,0.2636253031814257,-0.006065271814853749,0.30271571102795075
16,-1.5979288097938935,-0.2231826170856853,-2.424669686529049,-0.01680638946028253,1.0235673659363962,0.4823957765677222,0.2677907355382806,-0.006652797401507175,0.3027573044267238
17,-1.599905862011585,-0.23245637460533908,-2.4104112320523634,-0.018170446105837016,1.0152388681294593,0.488565637168457,0.2719446698008587,-0.00725707050453127,0.3027810762454921
18,-1.601882914229276,-0.24173013212499286,-2.3961527775756783,-0.0195345027513915,1.0069103703225224,0.4947354977691919,0.27608678764008615,-0.007878029650318084,0.30278706216984846
19,-1.6038599664469673,-0.2510038896446466,-2.381894323098993,-0.020898559396945984,0.9985818725155853,0.5009053583699267,0.28021677159608255,-0.008515611055979404,0.30277529990009566
20,-1.6058370186646587,-0.2602776471643004,-2.3676358686223073,-0.022262616042500474,0.9902533747086484,0.5070752189706615,0.28433430510956736,-0.009169748635856565,0.30274582914726317
21,-1.6078140708823498,-0.26955140468395417,-2.353377414145622,-0.02362667268805496,0.9819248769017113,0.5132450795713963,0.2884390725531779,-0.009840374008322647,0.30269869162892304
22,-1.6097911231000412,-0.278825162203608,-2.3391189596689363,-0.024990729333609445,0.9735963790947743,0.5194149401721311,0.2925307592626955,-0.010527416502870177,0.3026339310648094
23,-1.6117681753177324,-0.28809891972326174,-2.324860505192251,-0.02635478597916393,0.9652678812878372,0.525584800772866,0.2966090515681718,-0.011230803167490672,0.3025515931722417
24,-1.6137452275354236,-0.2973726772429155,-2.3106020507155653,-0.027718842624718416,0.9569393834809002,0.5317546613736008,0.30067363682495946,-0.01195045877633767,0.3024517256613481
25,-1.615722279753115,-0.30664643476256925,-2.2963435962388803,-0.029082899270272907,0.9486108856739633,0.5379245219743356,0.30472420344463585,-0.012686305837678439,0.3023343782300956
26,-1.6176993319708062,-0.31592019228222307,-2.282085141762195,-0.030446955915827394,0.9402823878670263,0.5440943825750705,0.3087604409258239,-0.01343826460212977,0.3021996025591209
27,-1.6196763841884976,-0.3251939498018768,-2.2678266872855093,-0.03181101256138187,0.9319538900600892,0.5502642431758052,0.3127820398849004,-0.014206253071177712,0.3020474523063669
28,-1.6216534364061888,-0.33446770732153064,-2.253568232808824,-0.033175069206936365,0.9236253922531523,0.5564341037765401,0.31678869208659455,-0.014990187005982002,0.3018779831015225
29,-1.6236304886238802,-0.3437414648411844,-2.2393097783321383,-0.03453912585249085,0.9152968944462152,0.5626039643772749,0.32078009047446726,-0.015789979936459645,0.3016912525402685
30,-1.6256075408415713,-0.3530152223608382,-2.2250513238554532,-0.03590318249804533,0.9069683966392783,0.5687738249780098,0.3247559292012743,-0.016605543170652465,0.3014873201783278
