timestamp,model_type,goal_image,curr_j0,curr_j1,curr_j2,curr_j3,curr_j4,curr_j5,cmd_j0,cmd_j1,cmd_j2,cmd_j3,cmd_j4,cmd_j5,step_diff_j0,step_diff_j1,step_diff_j2,step_diff_j3,step_diff_j4,step_diff_j5
1769568129.6921563,full,goal1.png,0.2748388350009918,-1.2908912897109985,-1.8496264219284058,1.6846263408660889,1.5928417444229126,2.8702070713043213,0.15315523743629456,-1.2151480913162231,-1.8492555618286133,1.6029855012893677,1.4751596450805664,2.8576786518096924,-0.12168359756469727,0.07574319839477539,0.00037086009979248047,-0.08164083957672119,-0.11768209934234619,-0.012528419494628906
1769568129.7093909,full,goal1.png,0.27583861351013184,-1.2914668321609497,-1.8496872186660767,1.683475136756897,1.5927962064743042,2.870100975036621,0.15477728843688965,-1.2181168794631958,-1.8456782102584839,1.611426591873169,1.4756247997283936,2.857381820678711,-0.12106132507324219,0.0733499526977539,0.0040090084075927734,-0.07204854488372803,-0.11717140674591064,-0.012719154357910156
1769568129.8045957,full,goal1.png,0.2654786705970764,-1.2843786478042603,-1.8495961427688599,1.668056607246399,1.5691231489181519,2.8701767921447754,0.15560367703437805,-1.2191829681396484,-1.8440699577331543,1.6162261962890625,1.4756922721862793,2.8587183952331543,-0.10987499356269836,0.06519567966461182,0.005526185035705566,-0.051830410957336426,-0.09343087673187256,-0.011458396911621094
1769568129.9104037,full,goal1.png,0.225796177983284,-1.2533899545669556,-1.8490509986877441,1.6279500722885132,1.505600929260254,2.8648452758789062,0.1512441784143448,-1.2164983749389648,-1.8478667736053467,1.613281011581421,1.4727306365966797,2.857886552810669,-0.07455199956893921,0.03689157962799072,0.001184225082397461,-0.014669060707092285,-0.03287029266357422,-0.006958723068237305
1769568130.0074282,full,goal1.png,0.17993423342704773,-1.2358812093734741,-1.8469609022140503,1.6197712421417236,1.48398756980896,2.8588626384735107,0.13882601261138916,-1.212265133857727,-1.8542017936706543,1.6050171852111816,1.4671261310577393,2.8521766662597656,-0.04110822081565857,0.02361607551574707,-0.007240891456604004,-0.014754056930541992,-0.016861438751220703,-0.006685972213745117
1769568130.104939,full,goal1.png,0.15403467416763306,-1.2344272136688232,-1.8496264219284058,1.615257740020752,1.4756118059158325,2.857393503189087,0.12153319269418716,-1.2082549333572388,-1.859889030456543,1.5935001373291016,1.462706208229065,2.848829746246338,-0.03250148147344589,0.026172280311584473,-0.010262608528137207,-0.02175760269165039,-0.012905597686767578,-0.008563756942749023
1769568130.2038178,full,goal1.png,0.1370408982038498,-1.2337911128997803,-1.8534129858016968,1.6054733991622925,1.4692959785461426,2.853167772293091,0.10290375351905823,-1.2013691663742065,-1.8665506839752197,1.5859352350234985,1.4583239555358887,2.8518166542053223,-0.034137144684791565,0.03242194652557373,-0.01313769817352295,-0.019538164138793945,-0.010972023010253906,-0.0013511180877685547
1769568130.307244,full,goal1.png,0.12347009032964706,-1.2287322282791138,-1.859017014503479,1.5956891775131226,1.464721918106079,2.850926160812378,0.08457335829734802,-1.1941354274749756,-1.8726308345794678,1.5774515867233276,1.4550472497940063,2.8549458980560303,-0.03889673203229904,0.034596800804138184,-0.01361382007598877,-0.018237590789794922,-0.009674668312072754,0.004019737243652344
1769568130.4040248,full,goal1.png,0.10817258059978485,-1.2270662784576416,-1.8644089698791504,1.5880556106567383,1.4608445167541504,2.851531982421875,0.06727764010429382,-1.186098575592041,-1.8800265789031982,1.568537712097168,1.453126311302185,2.860654830932617,-0.04089494049549103,0.040967702865600586,-0.015617609024047852,-0.019517898559570312,-0.007718205451965332,0.009122848510742188
1769568130.5069652,full,goal1.png,0.0903003066778183,-1.2206746339797974,-1.8721940517425537,1.5779380798339844,1.4565885066986084,2.8550610542297363,0.05063321813941002,-1.1823891401290894,-1.890116572380066,1.5591044425964355,1.4529775381088257,2.871549606323242,-0.03966708853840828,0.03828549385070801,-0.017922520637512207,-0.018833637237548828,-0.003610968589782715,0.01648855209350586
