timestamp,model_name,goal_image,curr_j0,curr_j1,curr_j2,curr_j3,curr_j4,curr_j5,cmd_j0,cmd_j1,cmd_j2,cmd_j3,cmd_j4,cmd_j5,delta_j0,delta_j1,delta_j2,delta_j3,delta_j4,delta_j5
1769213720.9512491,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,0.30473700165748596,-1.3350874185562134,-1.8171837329864502,1.8162447214126587,1.5064338445663452,2.894425392150879,0.26464617252349854,-1.3133723735809326,-1.7925746440887451,1.8114583492279053,1.4827970266342163,2.8527889251708984,-0.04009081795811653,0.021714985370635986,0.02460912987589836,-0.004786418750882149,-0.023636851459741592,-0.041636377573013306
1769213720.964777,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,0.30476728081703186,-1.3350874185562134,-1.8171837329864502,1.8162144422531128,1.5064338445663452,2.894395112991333,0.26454073190689087,-1.3132972717285156,-1.7924917936325073,1.8114476203918457,1.4829883575439453,2.8528642654418945,-0.04022655263543129,0.021790191531181335,0.024691961705684662,-0.004766864236444235,-0.02344547212123871,-0.041530851274728775
1769213721.065399,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,0.3001326024532318,-1.3338756561279297,-1.815366268157959,1.8158812522888184,1.5039044618606567,2.891108512878418,0.2597147226333618,-1.311830759048462,-1.7907143831253052,1.8110910654067993,1.480333685874939,2.849750518798828,-0.0404178760945797,0.022044934332370758,0.024651866406202316,-0.004790241364389658,-0.023570740595459938,-0.04135804995894432
1769213721.165659,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,0.2775045335292816,-1.3239399194717407,-1.8037341833114624,1.8142454624176025,1.4887737035751343,2.8658299446105957,0.23671965301036835,-1.3024035692214966,-1.7793145179748535,1.8099806308746338,1.464807391166687,2.825071334838867,-0.04078487679362297,0.021536335349082947,0.024419618770480156,-0.004264831077307463,-0.023966355249285698,-0.040758635848760605
1769213721.2669156,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,0.26317644119262695,-1.3163971900939941,-1.797554612159729,1.8136094808578491,1.482563853263855,2.8545007705688477,0.2228778600692749,-1.2959951162338257,-1.7738890647888184,1.8101460933685303,1.457725167274475,2.814316987991333,-0.04029858857393265,0.02040207013487816,0.023665493354201317,-0.0034633297473192215,-0.02483869343996048,-0.040183864533901215
1769213721.367284,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,0.24978742003440857,-1.311732292175293,-1.7899816036224365,1.8124582767486572,1.470401644706726,2.8344929218292236,0.21039018034934998,-1.2929983139038086,-1.7673683166503906,1.8089067935943604,1.4449247121810913,2.795808792114258,-0.039397235959768295,0.018733946606516838,0.0226132869720459,-0.003551519475877285,-0.025476986542344093,-0.038684118539094925
1769213721.467129,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,0.2332177460193634,-1.306037425994873,-1.7834991216659546,1.8120341300964355,1.461768388748169,2.821134090423584,0.1945192515850067,-1.2889833450317383,-1.7619202136993408,1.807012677192688,1.4370691776275635,2.7862367630004883,-0.038698501884937286,0.017054054886102676,0.021578868851065636,-0.0050214179791510105,-0.024699227884411812,-0.034897297620773315
1769213721.5675552,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,0.2169206142425537,-1.3005545139312744,-1.775471806526184,1.8109134435653687,1.449000358581543,2.8035192489624023,0.17789074778556824,-1.2854032516479492,-1.7546601295471191,1.803642988204956,1.4262574911117554,2.7737009525299072,-0.03902987018227577,0.01515120454132557,0.02081172540783882,-0.007270478177815676,-0.022742893546819687,-0.029818221926689148
1769213721.666703,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,0.2054097056388855,-1.2976768016815186,-1.7692922353744507,1.8093079328536987,1.4404125213623047,2.7919628620147705,0.16580209136009216,-1.2836626768112183,-1.7490981817245483,1.8004897832870483,1.4192484617233276,2.765141487121582,-0.03960762172937393,0.014014097861945629,0.020194072276353836,-0.008818206377327442,-0.021164007484912872,-0.026821371167898178
1769213721.7647176,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,0.1895063817501068,-1.2944356203079224,-1.7641122341156006,1.8068543672561646,1.4308099746704102,2.779815912246704,0.14904533326625824,-1.281378984451294,-1.744299292564392,1.7966026067733765,1.4116675853729248,2.7543349266052246,-0.04046104848384857,0.013056611642241478,0.019812965765595436,-0.010251794941723347,-0.01914241537451744,-0.025481091812253
1769213721.8653853,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,0.17593565583229065,-1.2917698621749878,-1.7579023838043213,1.8033403158187866,1.4230855703353882,2.7705163955688477,0.13480114936828613,-1.2805217504501343,-1.7384529113769531,1.7915607690811157,1.4068483114242554,2.746152639389038,-0.04113450646400452,0.011248158290982246,0.019449500367045403,-0.011779584921896458,-0.016237277537584305,-0.024363651871681213
1769213721.9665534,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,0.16354618966579437,-1.290103793144226,-1.7513593435287476,1.7990087270736694,1.4153763055801392,2.759171962738037,0.12168616056442261,-1.2810966968536377,-1.732060194015503,1.7863237857818604,1.4025458097457886,2.7362818717956543,-0.04186002537608147,0.00900714099407196,0.019299115985631943,-0.012684923596680164,-0.01283053494989872,-0.022890008985996246
