time,j0,j1,j2,j3,j4,j5,x,y,z
0.0000,0.91099,-1.28127,-1.80515,1.51534,-0.49567,3.86715,-0.25481,0.17194,0.02112
0.0154,0.91096,-1.28203,-1.80529,1.51380,-0.49575,3.86751,-0.25457,0.17176,0.02089
0.1156,0.90731,-1.28148,-1.80428,1.51343,-0.49545,3.86657,-0.25435,0.17302,0.02107
0.2133,0.89581,-1.28127,-1.79972,1.51256,-0.49715,3.85946,-0.25373,0.17697,0.02126
0.3165,0.88830,-1.28141,-1.79683,1.51331,-0.49868,3.85780,-0.25324,0.17949,0.02131
0.4156,0.87998,-1.28199,-1.79279,1.51422,-0.50078,3.85379,-0.25283,0.18238,0.02127
0.5147,0.87062,-1.28158,-1.78958,1.51343,-0.50185,3.85191,-0.25213,0.18555,0.02149
0.6145,0.86515,-1.28099,-1.78580,1.51368,-0.50382,3.84774,-0.25235,0.18788,0.02182
0.7181,0.85734,-1.28061,-1.78342,1.51267,-0.50369,3.84558,-0.25161,0.19049,0.02200
0.8160,0.84994,-1.27991,-1.78284,1.51228,-0.50445,3.84182,-0.25051,0.19259,0.02225
0.9177,0.84458,-1.28034,-1.78147,1.51016,-0.50281,3.84058,-0.24970,0.19421,0.02211
1.0181,0.83756,-1.27980,-1.78029,1.50884,-0.50262,3.83776,-0.24874,0.19634,0.02231
1.1169,0.83193,-1.27979,-1.77972,1.50814,-0.50305,3.83508,-0.24779,0.19786,0.02234
1.2142,0.82723,-1.28012,-1.77927,1.50730,-0.50360,3.83205,-0.24691,0.19905,0.02226
1.3152,0.82300,-1.28050,-1.77848,1.50655,-0.50532,3.82975,-0.24622,0.20015,0.02219
1.4163,0.81840,-1.28054,-1.77772,1.50473,-0.50459,3.82870,-0.24545,0.20147,0.02219
1.5154,0.80869,-1.27989,-1.77080,1.50134,-0.50496,3.82573,-0.24543,0.20569,0.02261
1.6163,0.80002,-1.27841,-1.76853,1.49992,-0.50477,3.82132,-0.24452,0.20868,0.02315
1.7185,0.79760,-1.27729,-1.76478,1.49623,-0.50621,3.81537,-0.24521,0.21037,0.02367
1.8228,0.78734,-1.27627,-1.76152,1.49503,-0.50688,3.80984,-0.24410,0.21389,0.02412
1.9234,0.78037,-1.27614,-1.75820,1.49335,-0.50812,3.80416,-0.24349,0.21643,0.02431
2.0234,0.77527,-1.27597,-1.75397,1.49146,-0.50874,3.79834,-0.24351,0.21878,0.02454
2.1179,0.76527,-1.27568,-1.75068,1.49063,-0.50966,3.79360,-0.24221,0.22210,0.02479
2.2143,0.75986,-1.27684,-1.74414,1.48830,-0.51048,3.78952,-0.24243,0.22487,0.02469
2.3193,0.75138,-1.27687,-1.74100,1.48735,-0.51123,3.78461,-0.24131,0.22772,0.02483
