time,j0,j1,j2,j3,j4,j5,x,y,z
5.6103,-0.22305,-1.30176,-0.60040,-0.47372,-0.65528,3.68025,0.15104,0.61207,0.24539
5.7099,-0.22674,-1.30324,-0.59758,-0.47692,-0.65710,3.67836,0.15346,0.61174,0.24542
5.8156,-0.23022,-1.30512,-0.59462,-0.48091,-0.65976,3.67555,0.15576,0.61139,0.24524
5.9127,-0.23428,-1.30745,-0.58999,-0.48470,-0.66146,3.67261,0.15847,0.61117,0.24536
6.0157,-0.24194,-1.30767,-0.58282,-0.48718,-0.66252,3.66701,0.16344,0.61085,0.24768
6.1111,-0.24499,-1.30790,-0.57774,-0.48723,-0.66279,3.66130,0.16548,0.61100,0.24927
6.2097,-0.24808,-1.30846,-0.57228,-0.48850,-0.66380,3.65409,0.16757,0.61114,0.25079
6.3103,-0.25453,-1.30905,-0.56690,-0.48818,-0.66463,3.64819,0.17168,0.61068,0.25225
6.4129,-0.25645,-1.31082,-0.56218,-0.48999,-0.66537,3.64456,0.17304,0.61082,0.25276
6.5102,-0.25983,-1.31275,-0.55696,-0.49262,-0.66626,3.63987,0.17532,0.61076,0.25335
6.6096,-0.26517,-1.31479,-0.55081,-0.49534,-0.66768,3.63437,0.17883,0.61042,0.25418
6.7131,-0.26944,-1.31705,-0.54171,-0.49714,-0.66921,3.62765,0.18177,0.61060,0.25589
6.8138,-0.27512,-1.31654,-0.53720,-0.49737,-0.67248,3.62082,0.18542,0.61001,0.25771
6.9116,-0.27848,-1.31703,-0.53102,-0.49931,-0.67554,3.61411,0.18774,0.60998,0.25951
7.0120,-0.28328,-1.31761,-0.52614,-0.50108,-0.67714,3.61017,0.19087,0.60956,0.26082
7.1114,-0.28731,-1.31930,-0.52164,-0.50358,-0.67750,3.60510,0.19352,0.60921,0.26134
7.2134,-0.29225,-1.32091,-0.51456,-0.50575,-0.67898,3.59919,0.19681,0.60893,0.26277
7.3104,-0.29819,-1.32225,-0.50990,-0.50673,-0.67896,3.59517,0.20059,0.60822,0.26356
7.4117,-0.29937,-1.32440,-0.50498,-0.50849,-0.67934,3.58961,0.20150,0.60842,0.26391
7.5131,-0.30358,-1.32649,-0.49977,-0.50987,-0.67866,3.58509,0.20424,0.60808,0.26443
7.6131,-0.30568,-1.32890,-0.49413,-0.51249,-0.67981,3.58031,0.20575,0.60811,0.26487
7.7104,-0.31144,-1.33108,-0.48537,-0.51419,-0.68032,3.57596,0.20956,0.60775,0.26656
7.8099,-0.31705,-1.33193,-0.48051,-0.51408,-0.68181,3.57075,0.21313,0.60700,0.26769
7.9097,-0.31890,-1.33345,-0.47449,-0.51458,-0.68403,3.56416,0.21447,0.60709,0.26879
8.0113,-0.32538,-1.33525,-0.46839,-0.51493,-0.68582,3.55778,0.21860,0.60618,0.26975
8.1109,-0.32773,-1.33781,-0.46008,-0.51641,-0.68746,3.55188,0.22033,0.60635,0.27101
8.2134,-0.33348,-1.33994,-0.45357,-0.51824,-0.68959,3.54700,0.22406,0.60556,0.27191
8.3123,-0.33648,-1.34105,-0.44829,-0.51843,-0.69235,3.54366,0.22606,0.60526,0.27301
8.4135,-0.34061,-1.34274,-0.44094,-0.51831,-0.69579,3.53865,0.22880,0.60485,0.27444
8.5116,-0.34612,-1.34424,-0.43464,-0.51901,-0.69864,3.53434,0.23236,0.60402,0.27565
8.6113,-0.35171,-1.34643,-0.42523,-0.52120,-0.70194,3.52943,0.23609,0.60339,0.27754
8.7106,-0.35791,-1.34696,-0.42070,-0.52328,-0.70469,3.52553,0.24003,0.60219,0.27877
8.8100,-0.36083,-1.34830,-0.41497,-0.52467,-0.70925,3.51925,0.24202,0.60179,0.27986
8.9099,-0.36493,-1.34913,-0.41069,-0.52651,-0.71285,3.51291,0.24467,0.60100,0.28079
9.0122,-0.36874,-1.35175,-0.40459,-0.52948,-0.71704,3.50686,0.24722,0.60035,0.28121
9.1151,-0.37495,-1.35323,-0.39872,-0.53290,-0.72089,3.50172,0.25122,0.59910,0.28231
9.2135,-0.37677,-1.35494,-0.39470,-0.53478,-0.72531,3.49639,0.25248,0.59876,0.28256
9.3127,-0.37998,-1.35768,-0.38938,-0.53880,-0.72892,3.49039,0.25466,0.59817,0.28266
9.4129,-0.38386,-1.35961,-0.38503,-0.54133,-0.73360,3.48538,0.25718,0.59730,0.28289
9.5100,-0.38720,-1.36313,-0.37692,-0.54536,-0.73590,3.48058,0.25951,0.59689,0.28350
9.6108,-0.39150,-1.36407,-0.37300,-0.54761,-0.74175,3.47474,0.26226,0.59583,0.28420
9.7096,-0.39129,-1.36771,-0.36778,-0.55056,-0.74580,3.47083,0.26235,0.59605,0.28366
9.8126,-0.39728,-1.36846,-0.36402,-0.55307,-0.75354,3.46477,0.26611,0.59443,0.28438
9.9142,-0.39767,-1.37135,-0.35837,-0.55461,-0.75825,3.45913,0.26655,0.59452,0.28444
10.0126,-0.40409,-1.37232,-0.34972,-0.55622,-0.76442,3.45195,0.27067,0.59318,0.28679
10.1139,-0.40683,-1.37386,-0.34476,-0.55674,-0.76899,3.44603,0.27246,0.59259,0.28748
10.2097,-0.40838,-1.37598,-0.33968,-0.55796,-0.77360,3.43812,0.27356,0.59232,0.28783
10.3104,-0.41315,-1.37742,-0.33502,-0.55912,-0.77776,3.43203,0.27655,0.59115,0.28849
10.4111,-0.41438,-1.38023,-0.32601,-0.56107,-0.78081,3.42500,0.27758,0.59125,0.28985
10.5113,-0.41983,-1.38124,-0.31935,-0.56159,-0.78432,3.41800,0.28101,0.59003,0.29151
10.6114,-0.42135,-1.38284,-0.31279,-0.56308,-0.78746,3.41126,0.28213,0.58988,0.29278
10.7119,-0.42525,-1.38377,-0.30738,-0.56411,-0.79310,3.40455,0.28461,0.58889,0.29401
10.8135,-0.42978,-1.38677,-0.29694,-0.56729,-0.79709,3.39952,0.28763,0.58803,0.29577
10.9136,-0.43417,-1.38899,-0.29120,-0.56880,-0.80118,3.39324,0.29040,0.58692,0.29632
11.0096,-0.43720,-1.39078,-0.28540,-0.57130,-0.80547,3.38679,0.29239,0.58618,0.29718
11.1096,-0.44287,-1.39323,-0.27978,-0.57276,-0.80747,3.38223,0.29589,0.58472,0.29758
11.2103,-0.44744,-1.39679,-0.27097,-0.57612,-0.81018,3.37799,0.29886,0.58369,0.29842
