idx,q1,q2,q3,q4,q5,q6,x,y,z
0,-1.5026192089497101,-0.12918928354176643,-2.643030820967124,0.32776882106305033,1.396102773023229,0.0,0.19994792969844588,4.485906836567549e-05,0.3000440872487336
1,-1.5020390361172884,-0.13571710594138944,-2.6242826016329293,0.32491592021649424,1.3932474813464357,-0.0012180692222419887,0.20564185949474442,0.0006740732405212755,0.3016693015725479
2,-1.5014588632848664,-0.1422449283410125,-2.6055343822987354,0.32206301936993803,1.3903921896696427,-0.0024361384444839774,0.21131076405082644,0.0013083050620584218,0.30332841751116574
3,-1.5008786904524445,-0.1487727507406355,-2.58678616296454,0.31921011852338194,1.3875368979928495,-0.0036542076667259657,0.21695398728368678,0.0019474618840395735,0.30502116604941937
4,-1.5002985176200228,-0.15530057314025852,-2.5680379436303458,0.3163572176768258,1.3846816063160563,-0.004872276888967955,0.2225708769171348,0.002591449794602652,0.306747271692582
5,-1.4997183447876008,-0.16182839553988157,-2.549289724296151,0.31350431683026964,1.3818263146392633,-0.006090346111209943,0.22816078457228112,0.0032401736362082257,0.3085064525129517
6,-1.4991381719551788,-0.1683562179395046,-2.5305415049619566,0.3106514159837135,1.37897102296247,-0.007308415333451931,0.2337230658573301,0.0038935370231497693,0.3102984201974508
7,-1.4985579991227571,-0.17488404033912763,-2.511793285627762,0.30779851513715734,1.3761157312856769,-0.00852648455569392,0.23925708045667204,0.004551442359327114,0.31212288009623596
8,-1.4979778262903354,-0.18141186273875065,-2.4930450662935675,0.3049456142906012,1.3732604396088839,-0.00974455377793591,0.24476219221925882,0.005213790856276344,0.3139795312723067
9,-1.4973976534579132,-0.18793968513837367,-2.474296846959373,0.3020927134440451,1.3704051479320907,-0.010962623000177897,0.250237769246252,0.005880482551453533,0.31586806655210575
10,-1.4968174806254915,-0.19446750753799671,-2.455548627625179,0.29923981259748894,1.3675498562552977,-0.012180692222419886,0.2556831839779294,0.006551416326767345,0.3177881725770997
11,-1.4962373077930695,-0.20099532993761976,-2.436800408290984,0.2963869117509328,1.3646945645785042,-0.013398761444661875,0.2610978132798386,0.007226489927360373,0.3197395298563293
12,-1.4956571349606476,-0.20752315233724278,-2.418052188956789,0.29353401090437664,1.3618392729017113,-0.014616830666903863,0.26648103852818406,0.007905599980630033,0.32172181281992135
13,-1.4950769621282258,-0.2140509747368658,-2.399303969622595,0.2906811100578205,1.358983981224918,-0.01583489988914585,0.2718322456944373,0.008588642015489022,0.3237346898735519
14,-1.494496789295804,-0.2205787971364888,-2.3805557502884,0.28782820921126434,1.3561286895481248,-0.01705296911138784,0.2771508254291571,0.00927551048186045,0.32577782345384887
15,-1.4939166164633821,-0.22710661953611186,-2.3618075309542057,0.28497530836470825,1.3532733978713316,-0.018271038333629832,0.28243617314500646,0.009966098770402948,0.3278508700847234
16,-1.4933364436309602,-0.23363444193573488,-2.343059311620011,0.2821224075181521,1.3504181061945384,-0.01948910755587182,0.2876876890989585,0.010660299232461536,0.3299534804346256
17,-1.4927562707985382,-0.24016226433535792,-2.3243110922858166,0.27926950667159595,1.3475628145177452,-0.020707176778113807,0.2929047784736758,0.011358003200242484,0.33208529937470255
18,-1.4921760979661167,-0.24669008673498094,-2.305562872951622,0.27641660582503985,1.3447075228409524,-0.021925246000355794,0.2980868514580537,0.012059101007204653,0.3342459660378597
19,-1.4915959251336948,-0.25321790913460396,-2.2868146536174274,0.2735637049784837,1.3418522311641592,-0.023143315222597785,0.3032333233269179,0.012763482008666066,0.3364351138787063
20,-1.4910157523012728,-0.259745731534227,-2.2680664342832326,0.2707108041319275,1.338996939487366,-0.024361384444839772,0.30834361451985964,0.013471034602619563,0.33865237073437937
21,-1.4904355794688509,-0.26627355393385,-2.2493182149490383,0.2678579032853714,1.3361416478105728,-0.02557945366708176,0.3134171507192075,0.0141816462507544,0.34089735888623013
22,-1.4898554066364291,-0.27280137633347307,-2.230569995614844,0.26500500243881525,1.3332863561337795,-0.02679752288932375,0.3184533629271134,0.014895203499679422,0.3431696951223679
23,-1.4892752338040074,-0.2793291987330961,-2.211821776280649,0.2621521015922591,1.3304310644569866,-0.028015592111565738,0.3234516875417523,0.015611592002343145,0.3454689908010428
24,-1.4886950609715854,-0.2858570211327191,-2.1930735569464543,0.259299200745703,1.3275757727801933,-0.029233661333807726,0.3284115664326198,0.01633069653964606,0.3477948519148621
25,-1.4881148881391635,-0.2923848435323421,-2.17432533761226,0.25644629989914686,1.3247204811034001,-0.030451730556049713,0.33333244701491876,0.01705240104224233,0.350146879155823
26,-1.4875347153067415,-0.29891266593196514,-2.1555771182780656,0.2535933990525907,1.3218651894266071,-0.0316697997782917,0.3382137823230245,0.017776588612524655,0.35252466798115917
27,-1.4869545424743196,-0.3054404883315882,-2.136828898943871,0.25074049820603456,1.319009897749814,-0.03288786900053369,0.3430550310830223,0.018503141546788872,0.3549278086799761
28,-1.486374369641898,-0.3119683107312112,-2.1180806796096765,0.2478875973594784,1.3161546060730207,-0.03410593822277568,0.34785565778430055,0.019231941357573345,0.3573558864406756
29,-1.4857941968094759,-0.31849613313083425,-2.0993324602754817,0.24503469651292228,1.3132993143962275,-0.035324007445017666,0.3526151327501982,0.019962868796170912,0.35980848141915067
30,-1.4852140239770542,-0.32502395553045726,-2.080584240941287,0.24218179566636613,1.3104440227194343,-0.036542076667259664,0.3573329322076901,0.02069580387530271,0.36228516880774053
31,-1.4846338511446322,-0.3315517779300803,-2.0618360216070926,0.23932889481981,1.3075887310426413,-0.03776014588950165,0.3620085383561074,0.021430625891958394,0.3647855189049342
32,-1.4840536783122102,-0.33807960032970336,-2.0430878022728978,0.23647599397325386,1.304733439365848,-0.03897821511174364,0.36664143943487987,0.022167213450389467,0.3673090971858095
33,-1.4834735054797885,-0.3446074227293263,-2.0243395829387034,0.2336230931266977,1.301878147689055,-0.04019628433398562,0.37123112979029116,0.022905444485257796,0.36985546437319533
